Código Nacional	Codigo Articulo	Descripción	Formato	PVL sin IVA 2026	PVP IVA Recomendado 2026	TIPO DE IVA	HEROE & BEST SELLER	Nombre Gama España	MARCA	TIPO DE PEDIDO FARMACIA
171541.8	P0011241	KERACNYL GEL LIMPIADOR	400ML	14,26	19,90	21%		ACNE	DU-DUCRAY	DIRECTO
321463.6	P0011240	KERACNYL GEL LIMPIADOR	200ML	11,97	16,90	21%		ACNE	DU-DUCRAY	DIRECTO
151062.4	P0011233	KERACNYL GLYCOLIC+	30 ML	12,91	18,90	21%		ACNE	DU-DUCRAY	DIRECTO
159416.7	P0011234	KERACNYL PP+	30ML	12,91	18,90	21%		ACNE	DU-DUCRAY	DIRECTO
204672.6	P0014743	KERACNYL 50+ FLUIDO	50ML	13,00	19,90	21%		ACNE	DU-DUCRAY	DIRECTO
171452.7	P0014905	KERACNYL REPAIR CREMA	50 ML	13,38	19,50	21%		ACNE	DU-DUCRAY	DIRECTO
171542.5	P0016108	KERACNYL REPAIR BALSAMO	15 ML	7,40	10,90	21%		ACNE	DU-DUCRAY	DIRECTO
194614.0	P0009571	KERACNYL MAT ANTIBRILLOS	30 ML	12,08	17,50	21%		ACNE	DU-DUCRAY	DIRECTO
346726.1	P0012209	KERACNYL STOP ESPINILLAS	10ML	11,45	16,90	21%		ACNE	DU-DUCRAY	DIRECTO
152478.2	P0014165	MELASCREEN CONCENTRADO ANTI-MANCHAS	30ML	27,63	40,20	21%		HIPERPIGMENTACIONES	DU-DUCRAY	DIRECTO
209058.3	P0014680	MELASCREEN SÉRUM ANTI-MANCHAS LUMINOSIDAD	40ML	31,05	45,20	21%		HIPERPIGMENTACIONES	DU-DUCRAY	DIRECTO
209057.6	P0014184	MELASCREEN CONTORNO DE OJOS	15ML	20,14	29,30	21%		HIPERPIGMENTACIONES	DU-DUCRAY	DIRECTO
